id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
37618,HIGHSCORE,Score High,672,43442,31207,28885,0,16189,"16818,16819,16820,16821",MAY222
38019,LASTLEVELS,The Last Levels,679,41989,30190,27818,0,16925,"17629,17630,17631,17632",LTIME110
38013,FILLCANDIES,Fill Candies,681,30260,23317,21538,0,16921,"17655,17656,17657,17658",START48
35488,BLACKJACK,Blackjack,681,41037,33075,30733,0,13740,"13741,13742,13743,13865",START27
39281,XJUMP,X Jumps,686,46353,36508,32489,0,19310,"20360,20361,20362,20363",START62
35555,CHESSDIST,Chessboard Distance,690,41075,31723,28624,0,13744,"13745,13746,13747,13867",LTIME105
35345,VALENTINE,Valentine is Coming,691,38225,31718,28768,0,13624,"13625,13626,13627,13832",START26
37815,MYSERVE,It is My Serve,691,32932,19535,17886,0,16194,"17378,17379,17380,17381",LTIME109
39561,WTRMIXING,Water Mixing,694,30469,20904,18667,0,20637,"20835,20836,20837,20838",NOV221
38383,WGHTS,Weights,697,60930,36999,33727,0,17582,"19129,19130,19131,19132",START53
37885,CHEFAPPS,Chef and his Apps,702,42199,23366,21422,0,16187,"17386,17387,17388,17389",START45
35930,MINCOINS,Minimum number of coins,711,35294,25508,23602,0,14040,"14041,14042,14043,14044",LTIME106
36023,CRICUP,Cup Finals,716,71327,31739,28479,2,14035,"14036,14037,14038,14039",START31
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
35598,SELFDEF,Self Defence Training,716,47527,34934,32131,1,14003,"14004,14005,14006,14007",START28
37816,FLOORS,Too many Floors,717,31872,21062,19465,0,16194,"17378,17379,17380,17381",LTIME109
36708,SPEEDTEST,Speed Limit Test,718,89134,37986,34301,0,18951,"19205,19206,19207,19208",SEP221
36802,CHEFPAGES,Important Pages on CodeChef,719,58544,25500,23004,11226,14273,"14274,14275,14276,14277",COOK140
39792,EXPENSES,Expense List,719,30672,26314,23978,0,21431,"21435,21436,21437,21438",START68
18420,DECINC,Decrement OR Increment,722,118917,92241,81985,0,-1,[-1],
37607,AORB,A or B,728,33376,24759,23046,0,16181,"16809,16810,16811,16812",START39
32578,PASSORFAIL,Pass or Fail,730,95730,68488,61103,0,12553,"12584,12585,12586",START16
10899,FLOW017,Second Largest,730,181857,106838,95003,0,-1,[-1],
31413,CYCLICQD,Cyclic Quadrilateral,735,47709,40243,36969,0,11061,"12087,12088,12089",START5
35459,POLYBAGS,Too many items,738,35812,30605,28565,0,13740,"13741,13742,13743,13865",START27
37860,ACS,Count the ACs,739,43874,24703,22980,0,16191,"17382,17383,17384,17385",JUNE222
39006,BUILDINGRACE,Building Race,739,78524,32680,29540,0,19312,"20076,20077,20078,20079",OCT221
35916,CHEFRACES,Chef and Races,745,44415,30565,28362,0,14020,"14021,14022,14023,14024",MARCH222
31848,BLACKCEL,Black cells in a chessboard,746,45907,37669,34406,0,11065,"12297,12298,12299",START9
18419,DIFFSUM,Sum OR Difference,749,122265,88135,76949,0,-1,[-1],
40336,FARFROMO,Far from origin,750,33014,17225,16009,0,21631,"21632,21633,21634,21635",JAN231
10894,FLOW013,Valid Triangles,750,199181,117584,104599,0,-1,[-1],
37364,PRESENTS,Presents for Cheffina,757,46711,23317,21626,0,14530,"14531,14532,14533,14534",START36
10900,FLOW018,Small Factorial,760,144568,93615,82982,0,-1,[-1],
39477,DISTINCTCOL,Distinct Colors,760,31659,26623,24023,0,20346,"20693,20694,20695,20696",START64
30312,T20MCH,Possible Victory,769,56637,40360,36316,0,11058,"11466,11467,11468",START2
35639,JGAMES,Janmansh and Games,772,37290,24960,23101,0,14030,"14031,14032,14033,14034",COOK139
39372,BOOKPACK,Packing Books,775,40759,23412,20920,1,20345,"20648,20649,20650,20651",START63
9802,LUCKFOUR,Lucky Four,775,235577,186116,161969,3585,1837,[1837],LTIME21
38006,BUYLAMP,Buy Lamps,775,31197,23426,21820,0,16921,"17655,17656,17657,17658",START48
10889,FLOW008,Helping Chef,776,149510,86174,78848,0,-1,[-1],
11867,CHN15A,Mutated Minions,777,86845,54913,47421,0,-1,[-1],
41337,SINGLEUSE,Single-use Attack,777,25678,20073,19078,0,22096,"22352,22353,22354,22355",START80
39824,REACHFAST,Reach fast,777,26978,19397,17756,0,21451,"21452,21453,21454,21455",DEC221
35458,SALE,Get Lowest Free,778,35490,22291,20381,0,13740,"13741,13742,13743,13865",START27
37772,MINFLIPS,Minimum number of Flips,781,38132,19841,18399,0,16184,"17362,17363,17364,17365",START42
39659,BIN_BAT,Binary Battles,786,30618,25609,23129,0,20348,"21398,21399,21400,21401",START66
40191,INDIVISIBLE,Indivisible,787,34154,24690,22202,1,21611,"21615,21616,21617,21618",START72
36030,ECOCLASS,Economics Class,787,28003,21917,19394,0,14035,"14036,14037,14038,14039",START31
32333,RCBPLAY,RCB and Playoffs,788,64487,51254,46523,0,12418,"12419,12420,12421",START14
4607,TLG,The Lead Game,790,354830,97095,83998,0,-1,[-1],
37601,RECENTCONT,Recent contest problems,793,50400,39913,36238,0,16181,"16809,16810,16811,16812",START39
37624,DPOLY,Degree of Polynomial,793,47247,33011,29200,0,16189,"16818,16819,16820,16821",MAY222
10913,PRB01,Primality Test,794,179782,69568,59832,0,-1,[-1],
36997,WATERCOOLER2,The Cooler Dilemma 2,798,85270,27836,25060,0,14290,"14291,14292,14293,14294",APRIL221
39965,KITCHENCOST,Cost of Groceries,799,31318,25399,22319,0,21433,"21443,21444,21445,21446",START70
39040,CUTPAPER,Paper Cutting,800,42763,33013,29524,0,19308,"20255,20256,20257,20258",START60
37809,DNASTORAGE,DNA Storage,801,26931,20221,18930,0,16185,"17374,17375,17376,17377",START43
31101,LAZYCHF,Lazy Chef,801,66835,53689,48914,0,11060,"11904,11905,11906",START4
31948,HARDBET,Hardest Problem Bet,803,45578,36575,33956,1,11066,"12300,12301,12302",START10
35801,WORDLE,Wordle,804,65268,50199,44839,0,14010,"14011,14012,14013,14014",MARCH221
32172,TYRES,Cars and Bikes,809,41385,35388,31447,0,12371,"12372,12373,12374",COOK133
35474,CREDITS,Complete the credits,809,28660,22545,20610,0,13580,"13581,13582,13583,13866",COOK138
35476,BOTTOM,Guess the bottom face,815,20594,18912,17376,0,13580,"13581,13582,13583,13866",COOK138
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
39416,BROKENSTRING,Mario and the Broken String,816,40261,29928,26945,0,20346,"20693,20694,20695,20696",START64
38123,NEARESTCOURT,Nearest Court,819,35300,30032,27443,0,17579,"18663,18664,18665,18666",START50
35188,FRUITCHAAT,Chef and His Fruit Stand,822,33085,24562,22818,0,13576,"13577,13578,13579",START25
10892,FLOW011,Gross Salary,823,87359,47509,43896,0,-1,[-1],
37263,EQLZING,Equalizing Numbers,823,43406,26608,24095,0,17585,"18746,18747,18748,18749",LTIME111
32273,SUPCHEF,The Preparations,823,40691,34778,32223,0,12414,"12415,12416,12417",START13
33504,GENE01,Genes,826,42207,24854,22642,0,12815,"12825,12826,12827",START20
7680,SNAPE,Snape and Ladder,828,31131,20859,19200,0,1364,[1364],COOK45
10916,PALL01,The Block Game,830,115833,73673,67058,0,-1,[-1],
38121,MILEAGE,Mileage matters,831,59157,24417,21754,0,17579,"18663,18664,18665,18666",START50
31422,EITA,Maximum Production,833,41263,32699,30556,0,12091,"12092,12093,12094",JULY21
32181,GOODWEAT,Good Weather,835,42691,32224,29841,0,12410,"12411,12412,12413",START12
10895,FLOW014,Grade The Steel,838,71287,40522,38016,0,-1,[-1],
41676,OPMIN,MIN To MAX,838,35529,22031,20957,0,22094,"22499,22500,22501,22502",START82
37572,LOOP,Circular Track,838,51818,23466,21461,0,16180,"16760,16761,16762,16763",START38
10886,FLOW005,Smallest Numbers of Notes,839,88936,57415,52494,0,-1,[-1],
18424,VOWELTB,Is it a VOWEL or CONSONANT,840,78126,44600,39767,0,-1,[-1],
32314,MIXTURE,Which Mixture,841,73098,47462,43387,0,12506,"12507,12508,12509",OCT21
40339,REDSTRBTN,Redistributing Chocolates,842,38924,23260,21949,0,21890,"22050,22051,22052,22053",START76
31689,CHSFORMT,Chess Format,844,44635,36720,34091,0,11063,"12201,12202,12203,12204",START7
29433,BMI,Body Mass Index,845,41499,26703,23991,1007,11394,"11410,11411,11412",CCRC2021
37044,BULBLIFE,Good Quality Bulbs,846,19772,15465,14715,0,14479,"14475,14476,14477,14478",START34
10891,FLOW010,Id and Ship,847,195521,105886,90557,0,-1,[-1],
30363,SOCKS1,Valid Pair,851,55799,43516,39928,0,11563,"11564,11565,11566",APRIL21
38172,EQUALISE,Make A and B equal,851,50429,26815,24766,0,17586,"18713,18714,18715,18716",AUG221
31245,COCONUT,Summer Heat,852,68235,57089,52694,0,12027,"12028,12029,12030",JUNE21
33677,INCREAR,Equal Integers,852,44425,22933,20505,1,16183,"16973,16974,16975,16976",START41
379,PERMUT2,Ambiguous Permutations,853,69003,29997,25664,0,-1,[-1],
30911,SLOOP,Coldplay,854,43745,35422,32165,0,11763,"11764,11765,11766",LTIME95
41204,CUTOFF,Passing Marks,855,30150,21146,19881,0,21892,"22260,22261,22262,22263",START78
33662,CHEFTRANS,Chef and Vacation Transportation ,855,27390,20952,19768,0,13066,"13067,13068,13069",LTIME103
31298,VISA,Chefland Visa,857,42128,29803,27483,0,12036,"12037,12038,12039",COOK130
18421,AREAPERI,Area OR Perimeter,858,81596,37381,33413,0,-1,[-1],
33842,DEVSPORTS,Devendra and Water Sports,859,29007,24115,22697,0,13070,"13071,13072,13073",START21
37998,CONN,Construct N,860,48468,18374,16909,0,16920,"17574,17575,17576,17577",START47
32703,PROBCAT,Problem Category,860,69095,46070,42432,0,12555,"12609,12610,12611",LTIME101
29369,HDIVISR,Highest Divisor,860,67591,51102,45737,0,11026,"11027,11028,11029",FEB21
35613,CARCHOICE,Car Choice,861,53016,21894,20152,0,14003,"14004,14005,14006,14007",START28
10890,FLOW009,Total Expenses,861,145555,48581,43504,0,-1,[-1],
37781,ALTERADD,Alternate Additions,863,56369,20406,19064,0,16190,"17366,17367,17368,17369",JUNE221
31885,WHICHDIV,Which Division,867,20907,16620,15600,0,12281,"12282,12283,12284",COOK132
34932,BADMINTON,Badminton Serves,869,28600,19856,18598,0,13260,"13436,13437,13438",START24
453,SUMTRIAN,Sums in a Triangle,869,78048,35524,29436,0,-1,[-1],
31485,RELATIVE,Relativity,872,37807,30731,28633,1,12091,"12092,12093,12094",JULY21
33115,ODDSEVENS,Odds and Evens,872,21910,18674,17378,0,12798,"12799,12800,12801",COOK135
33405,CHEFCONTEST,Chef and Contest,872,20566,15658,14564,0,12814,"12822,12823,12824",START19
36028,GROUPASSGN,Group Assignment,872,22983,16732,15783,0,14035,"14036,14037,14038,14039",START31
18515,NUM239,Counting Pretty Numbers,873,68775,47521,42056,0,5713,"5770,5771",LTIME61
32306,DRUNKALK,Drunk Alcoholic,874,26549,18664,17213,0,12722,"12723,12724,12725",CSNS2021
30405,CCISLAND,Chef On Island,878,49264,34081,31111,0,11059,"11826,11827,11828",START3
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
31314,CHFRICH,Richie Rich,878,90883,76065,68935,0,12083,"12084,12085,12086",LTIME97
11,FCTRL,Factorial,878,232422,97101,80912,0,-1,[-1],
39166,DIFFCONSEC,Different Consecutive Characters ,879,35386,27174,23978,0,19309,"20286,20287,20288,20289",START61
32095,FACEDIR,Find the Direction,880,34540,27074,25211,0,12387,"12388,12389,12390",START11
32490,CARRYGOLD,Gold Mining,880,34489,26609,24148,0,12552,"12581,12582,12583",START15
37414,LEAGUE,Farmers League,883,16241,12785,11900,0,16177,"16173,16174,16175,16176",COOK141
33330,UTKPLC,Utkarsh and Placement tests,886,37454,26060,23901,1,12895,"12896,12897,12898",DEC21
18346,CHEFRUN,Secret Recipe,888,21751,12221,11411,0,5704,"5730,5731",COOK94
34643,CHFPROFIT,Chef and Profits,889,25167,21906,20342,0,13259,"13402,13403,13404",START23
32999,CHEFVACATION,Chef on Vacation,891,29398,22990,21454,0,12812,"12816,12817,12818",START17
31799,OLYRANK,Olympics Ranking,893,60798,46028,42630,0,12205,"12206,12207,12208",AUG21
19500,SNCKYEAR,Chef and SnackDown,895,51850,39022,36682,0,-1,[-1],
35049,CHEFBARBER,Chef and the Hair Salon,895,33702,28744,26398,0,13572,"13573,13574,13575",FEB221
35478,MAYOR_PARTY,Peaceful Party,898,22053,18185,16911,0,13580,"13581,13582,13583,13866",COOK138
41339,RUNCOMPARE,Running Comparison,899,20441,17715,16904,0,22096,"22352,22353,22354,22355",START80
30386,PSGRADE,Passing Marks,904,35785,24861,22887,0,11424,"11760,11761,11762",COOK128
34778,AVOIDCONTACT,Avoid Contact,907,32786,26434,24798,0,13260,"13436,13437,13438",START24
35625,SUNDAY,Count the Holidays,907,33905,25021,23403,0,14003,"14004,14005,14006,14007",START28
18422,HOWMANY,HOW MANY DIGITS DO I HAVE,908,56387,29278,26386,0,-1,[-1],
36089,RATING,The Rating Dilemma,909,24515,19149,17785,0,14020,"14021,14022,14023,14024",MARCH222
28200,UWCOI21A,Hidden Numbers,917,19069,14082,12956,0,10796,[10796],UWCOI21
40819,TWORANGES,Two Ranges,918,28146,17751,16811,0,21614,"21627,21628,21629,21630",START75
30556,SAVWATER,A - Save Water Save Life,918,22448,16477,15395,0,11773,"11774,11775,11776",SPYB2021
30961,SOLBLTY,Solubility,922,48761,40072,37084,0,11908,"11909,11910,11911",MAY21
31826,PENALTY,Penalty Shots,925,25981,17925,16685,0,11064,"12289,12290,12291",START8
78,MARBLES,Marbles,925,35537,12105,10534,0,-1,[-1],
31683,SHOEFIT,Shoe Fit,925,32497,21102,19609,0,12174,"12175,12176,12177",COOK131
8645,REMISS,Chef and Remissness,928,121999,66743,62036,0,1362,[1362],COOK43
37861,PAIREQ,Make all equal using Pairs,928,55528,30829,27365,0,16191,"17382,17383,17384,17385",JUNE222
32603,CHEFSLP,Chef and Pairing Slippers,930,20161,15570,14432,0,12554,"12587,12588,12589",COOK134
26418,PRICECON,Chef and Price Control,931,57696,43931,39854,0,9417,"9418,9419",JUNE20
35775,CHFCLASS,Akash and Missing Class,931,52008,20439,18936,4121,14010,"14011,14012,14013,14014",MARCH221
29819,NOTIME,No Time to Wait,932,54747,33905,30790,0,11420,"11421,11422,11423",MARCH21
37738,FIRSTANDLAST,First and Last,932,37004,14856,13913,0,16195,"17003,17004,17005,17006",COOK142
33154,MINDAYSRET,Back to Campus,933,29478,18643,17224,1,12813,"12819,12820,12821",START18
33661,WCC,World Chess Championship,935,27940,20305,18573,0,13620,"13621,13622,13623",FEB222
10917,RECTSQ,Farmer And His Plot,936,31670,15795,14606,0,-1,[-1],
18258,TWOVSTEN,Two vs Ten,936,52013,34513,31915,0,5711,"5748,5749",LTIME59
7316,CIELRCPT,Ciel and Receipt,936,91098,58064,52025,0,971,[971],COOK24
32258,VDATES,Vaccine Dates ,938,99675,55804,50458,0,12516,"12517,12518,12519",LTIME100
33358,CARRANGE,Car Range,938,9123,8096,7567,0,12998,"12999,13000,13001",SDELP21
37282,COMPRESSVD,Compress the Video,940,53076,35067,31955,0,16181,"16809,16810,16811,16812",START39
346,COINS,Bytelandian gold coins,944,172796,28331,22225,0,-1,[-1],
35642,JMARKET,Janmansh at Fruit Market,947,25211,17295,16220,0,14030,"14031,14032,14033,14034",COOK139
41095,TEKKEN,Tekken,947,54371,20725,19407,0,21891,"22184,22185,22186,22187",START77
38695,NONNEGPROD,Non-Negative Product,948,75146,25680,23115,0,18949,"19299,19300,19301,19302",START57
36693,DIGARR,Rearranging digits to get a multiple of 5,949,40286,22157,20144,10754,14273,"14274,14275,14276,14277",COOK140
19845,CHFINTRO,Chef and Interactive Contests,951,37737,23172,22008,0,5725,"5764,5765",DEC18
31995,THREEQ,The Old Saint And Three Questions,954,21598,13997,13111,0,12295,"12351,12352,12353",CDMN2021
31025,MARARUN,Marathon,955,38087,21755,20305,0,11886,"11887,11888,11889",COOK129
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
37262,HAPPYSTR,Chef and Happy String ,956,34519,24240,21970,2,19307,"20055,20056,20057,20058",START59
15477,COOK82A,La Liga,956,10291,5905,5567,0,4066,[4066],COOK82
33585,TWOROOKS,Two Rooks,957,18272,14524,13465,0,13062,"13063,13064,13065",COOK136
33116,COMPCAND,Can You Eat It,960,22220,14540,13586,0,12781,"12878,12879,12880",FZBZ2021
39393,AVDSQUARPLZ,Avoid Squares Please,960,26786,20863,18664,0,20345,"20648,20649,20650,20651",START63
12487,PPSUM,Puppy and Sum,961,78129,51462,47145,0,2260,[2260],COOK67
17319,CCOOK,Chef and Cook-Off,961,35143,21919,20551,0,5527,[5527],COOK91
28233,CYBV,The Begining Era Of Cyberverse,964,15997,10264,9547,0,10874,"10881,10882",BYTR2020
19324,JDELAY,Judging Delay,964,24268,14852,13968,0,5716,"5776,5777",LTIME64
40049,SNAPCHAT,Snapchat,965,46164,21062,19073,0,21434,"21447,21448,21449,21450",START71
31624,CHFSPL,Chef and Spells,965,63222,37406,34320,0,12178,"12179,12180,12181",LTIME98
31676,CRICRANK,Cricket Ranking,966,39198,23588,21680,0,11062,"12198,12199,12200",START6
38007,GRIDBL,Fill The Grid,968,38098,20144,18960,0,16921,"17655,17656,17657,17658",START48
37811,JOINING,Joining Date,970,34000,14332,13401,0,16185,"17374,17375,17376,17377",START43
38328,WATESTCASES,WA Test Cases,976,31398,23078,21084,0,17581,"18727,18728,18729,18730",START52
38045,ON_OFF,N Buttons 1 Bulb,977,38683,20999,19200,0,16922,"18385,18386,18387,18388",START49
37764,MODULO3,Divisible by 3,978,42347,18536,17416,0,16184,"17362,17363,17364,17365",START42
19902,PLAYPIAN,Play Piano,980,19762,12191,11240,0,-1,[-1],
35582,BOMBTHEBASE,Bomb the base,982,32587,16377,14807,0,14015,"14016,14017,14018,14019",START29
34886,LOCKDRAW,Chef and Lockout Draws,982,33795,24076,22199,2,13262,"13433,13434,13435",LTIME104
17773,CO92JUDG,Chef Judges a Competition,984,23712,15284,14425,0,5632,"5726,5727",COOK92
33544,DOLL,"Red Light, Green Light",984,46531,34798,30930,0,13151,"13152,13153,13154",INFI2021
9617,TRISQ,Fit Squares in Triangle,985,62214,44967,40821,0,1826,[1826],COOK55
22576,MATCHES,Playing with Matches,986,72470,51828,46890,0,7338,"7339,7340",COOK110
12210,CHN09,Malvika is peculiar about color of balloons,988,36020,23462,21731,0,-1,[-1],
18367,NAICHEF,Naive Chef,990,32178,18127,16899,1407,5384,"5756,5757",JUNE18
33109,CAN_REACH,Can_Reach,990,22119,17607,16678,0,12781,"12878,12879,12880",FZBZ2021
33903,POPCORN,Vishesh and his Popcorn Combo,990,19081,14637,13657,0,13320,"13321,13322,13323",EXUN2021
33384,FRGAME,Game between friends,991,31399,18196,16721,0,13209,"13228,13229,13230",CDRV2021
33592,KEPLERSLAW,Keplers Law,992,36600,26557,24448,0,13251,"13252,13253,13254",JAN221
4,ONP,Transform the Expression,992,39973,21999,19038,0,-1,[-1],
38481,BALLBOX,Balls and Boxes,994,60600,29544,26927,0,18947,"19200,19202,19203,19204",START55
36898,DARLIG,Dark Light,994,53832,20057,18557,0,14485,"14486,14487,14488,14489",START35
13303,KTTABLE,Kitchen Timetable,997,74161,39930,35178,0,-1,[-1],
30156,LUCKYFR,Lucky Four,998,31414,24343,21502,554,-1,[-1],
31386,BLITZ3_2,Chess Match,998,34857,30243,27791,0,11061,"12087,12088,12089",START5
